Date,Open,High,Low,Close,Adj Close,Volume
2009-06-29,8440.129883,8580.469727,8280.740234,8280.740234,8280.740234,792220000
2009-07-06,8280.740234,8327.969727,8087.189941,8146.520020,8146.520020,1109950000
2009-07-13,8146.520020,8754.290039,8130.419922,8743.940430,8743.940430,1265680000
2009-07-20,8746.049805,9100.879883,8745.900391,9093.240234,9093.240234,1120720000
2009-07-27,9093.089844,9246.429688,9007.469727,9171.610352,9171.610352,1063590000
2009-08-03,9173.650391,9437.709961,9173.650391,9370.070313,9370.070313,1115340000
2009-08-10,9368.410156,9424.110352,9216.879883,9321.400391,9321.400391,848570000
2009-08-17,9313.849609,9519.110352,9116.519531,9505.959961,9505.959961,987810000
2009-08-24,9506.179688,9630.200195,9459.400391,9544.200195,9544.200195,888890000
2009-08-31,9542.910156,9557.950195,9252.929688,9441.269531,9441.269531,965630000
2009-09-07,9440.129883,9649.849609,9439.980469,9605.410156,9605.410156,824080000
2009-09-14,9598.080078,9854.580078,9535.959961,9820.200195,9820.200195,1312180000
2009-09-21,9818.610352,9917.990234,9641.009766,9665.190430,9665.190430,992020000
2009-09-28,9663.230469,9834.480469,9430.080078,9487.669922,9487.669922,1072910000
2009-10-05,9488.730469,9865.009766,9481.089844,9864.940430,9864.940430,918220000
2009-10-12,9865.240234,10062.940430,9815.059570,9995.910156,9995.910156,1215420000
2009-10-19,9996.669922,10119.469727,9916.780273,9972.179688,9972.179688,1189360000
2009-10-26,9972.330078,10072.320313,9684.540039,9712.730469,9712.730469,1341410000
2009-11-02,9712.129883,10044.500000,9678.950195,10023.419922,10023.419922,1090160000
2009-11-09,10020.620117,10341.969727,10020.620117,10270.469727,10270.469727,939430000
2009-11-16,10267.530273,10438.169922,10256.110352,10318.160156,10318.160156,953910000
2009-11-23,10320.129883,10495.610352,10231.250000,10309.919922,10309.919922,606470000
2009-11-30,10309.769531,10516.700195,10263.290039,10388.900391,10388.900391,1277930000
2009-12-07,10386.860352,10484.049805,10235.629883,10471.500000,10471.500000,982840000
2009-12-14,10471.280273,10514.660156,10263.900391,10328.889648,10328.889648,1229170000
2009-12-21,10330.099609,10522.059570,10329.799805,10520.089844,10520.089844,464680000
2009-12-28,10517.910156,10580.330078,10423.129883,10428.049805,10428.049805,443000000
2010-01-04,10430.690430,10619.400391,10430.690430,10618.190430,10618.190430,944460000
2010-01-11,10620.309570,10723.769531,10561.059570,10609.650391,10609.650391,1205160000
2010-01-18,10608.370117,10729.889648,10157.639648,10172.980469,10172.980469,1023330000
2010-01-25,10175.099609,10285.129883,10043.750000,10067.330078,10067.330078,1251750000
2010-02-01,10068.990234,10314.839844,9835.089844,10012.230469,10012.230469,1247070000
2010-02-08,10005.429688,10161.570313,9904.089844,10099.139648,10099.139648,1122060000
2010-02-15,10100.809570,10438.549805,10100.809570,10402.349609,10402.349609,855230000
2010-02-22,10402.429688,10433.639648,10185.830078,10325.259766,10325.259766,1055300000
2010-03-01,10326.099609,10571.940430,10326.099609,10566.200195,10566.200195,924230000
2010-03-08,10563.780273,10644.950195,10507.169922,10624.690430,10624.690430,894350000
2010-03-15,10623.410156,10819.900391,10570.509766,10741.980469,10741.980469,1169640000
2010-03-22,10741.000000,10955.480469,10695.129883,10850.360352,10850.360352,917730000
2010-03-29,10849.230469,10956.389648,10832.830078,10927.070313,10927.070313,642100000
2010-04-05,10927.450195,11000.980469,10844.089844,10997.349609,10997.349609,796030000
2010-04-12,10996.750000,11154.549805,10947.769531,11018.660156,11018.660156,1139500000
2010-04-19,11018.360352,11205.639648,10977.849609,11204.280273,11204.280273,1000980000
2010-04-26,11205.110352,11258.009766,10965.379883,11008.610352,11008.610352,1141520000
2010-05-03,11009.599609,11177.669922,9869.620117,10380.429688,10380.429688,1527630000
2010-05-10,10386.179688,10920.269531,10386.030273,10620.160156,10620.160156,1191910000
2010-05-17,10616.980469,10718.860352,9918.820313,10193.389648,10193.389648,1533190000
2010-05-24,10193.459961,10264.200195,9774.480469,10136.629883,10136.629883,1352960000
2010-05-31,10133.940430,10315.209961,9889.879883,9931.969727,9931.969727,856220000
2010-06-07,9931.750000,10215.980469,9757.549805,10211.070313,10211.070313,1114920000
